"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2019-08-13","OT FILTER 1-8","W1320290","pH","","7.64","PH","OT FP Filters 1-8"
"2019-08-13","OT FILTER 1-8","W1320290","Total THMs","","13.3","UG/L","OT FP Filters 1-8"
"2019-08-13","OT FILTER 9-16","W1320291","pH","","7.78","PH","OT FP Filters  9-16"
"2019-08-13","OT FILTER 9-16","W1320291","Total THMs","","13.3","UG/L","OT FP Filters  9-16"
"2019-08-13","OT SETTLED","W1320289","pH","","7.36","PH","OT FP Settled"
"2019-08-13","OT SETTLED","W1320289","Total THMs","","16.0","UG/L","OT FP Settled"
"2019-08-14","119 SYS","W1320346","pH","","8.19","PH","Lower Otay Recreation"
"2019-08-14","218 SYS","W1320314","Fluoride","","0.4479999999999999","MG/L","2110 Via Casa Alta @ Fire Station"
"2019-08-15","204A SYS","W1320441","Chlorate","","61.7","UG/L","2787 Alta View Drive"
"2019-08-15","204A SYS","W1320441","Chlorite","","34.6","UG/L","2787 Alta View Drive"
"2019-08-15","284 SYS","W1320442","Fluoride","","0.436","MG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-08-15","300 SYS","W1320440","Chlorate","","226.5","UG/L","5368 Topsail Drive"
"2019-08-15","300 SYS","W1320440","Chlorite","","251.5","UG/L","5368 Topsail Drive"
"2019-08-16","173 SYS","W1320500","Fluoride","","0.474","MG/L","Rancho Hills & Reo Dr @ Library/Sample Stanchion"
"2019-08-17","55A SYS","W1316881","Fluoride","","0.341","MG/L","5183 Arvinels Ave."
"2019-08-18","174 SYS","W1316911","Fluoride","","0.621","MG/L","3250 Camino Del Rio North; Sample Stanchion"
"2019-08-19","313 SYS","W1321333","Fluoride","","0.379","MG/L","11602 Calle Paracho"
"2019-08-20","284 SYS","W1321493","Chlorate","","218.5","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-08-20","284 SYS","W1321493","Chlorite","","304.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-08-20","67 SYS","W1321434","Fluoride","","0.606","MG/L","Pomerado Rd & Grandee Pl"
"2019-08-20","OT COMB FILTER","W1321569","pH","","7.7","PH","OT FP Filter Combined Filter Effluent"
